sqft,bedrooms,bathrooms,price
1400,3,2,245000
1600,3,2,312000
1700,3,2,279000
1875,3,2,308000
1100,2,1,199000
1550,3,2,219000
2350,4,3,405000
2450,4,3,459000
1425,3,2,259000
1700,3,2,273000
1900,3,3,320000
2100,4,2,370000
1200,2,1,189000
3000,5,4,549000
2800,4,3,499000
950,2,1,155000
1750,3,2,289000
2200,4,3,410000
2600,4,3,469000
1300,2,2,225000
1450,3,1,241000
1650,3,2,285000
2000,4,2,345000
2400,4,3,435000
800,1,1,132000
1050,2,1,168000
1800,3,2,299000
2150,4,2,375000
2700,5,3,490000
1350,3,2,238000
1500,3,2,268000
2250,4,3,398000
1950,3,2,336000
3200,5,4,580000
2050,4,2,359000
1250,2,1,210000
900,2,1,145000
2500,4,3,452000
1150,2,2,196000
3500,5,4,629000
1850,3,2,310000
2300,4,3,418000
1600,3,2,275000
1000,2,1,162000
2900,5,4,525000
1700,3,2,292000
2050,3,3,355000
1400,3,1,232000
3100,5,4,562000
2200,4,3,395000
